PERIOD,ELAPSED_SECS,ACTIONS
1,55,Young P.FOUL (P1.T1) (Z.Zarba)
1,76,Lopez 8' Fadeaway Jumper (2 PTS) (Jack 1 AST)
1,92,Lopez REBOUND (Off:0 Def:1)
1,99,MISS Bogdanovic 4' Jump Shot
1,117,Lopez REBOUND (Off:0 Def:2)
1,122,Bogdanovic  Layup (2 PTS) (Jack 2 AST)
1,138,Jack REBOUND (Off:0 Def:1)
1,161,Lopez 7' Jump Bank Shot (4 PTS)
1,185,Lopez 12' Jump Shot (6 PTS) (Jack 3 AST)
1,185,Lopez Free Throw 1 of 1 (7 PTS)
1,212,MISS Young 2' Layup
1,215,Johnson S.FOUL (P1.T2) (K.Fitzgerald)
1,218,Nets Timeout: Regular (Reg.1 Short 0)
1,235,MISS Young 4' Jump Shot
1,236,Young REBOUND (Off:1 Def:0)
1,236,MISS Young  Layup
1,267,MISS Lopez 17' Jump Shot
1,291,Lopez 2' Layup (9 PTS) (Jack 4 AST)
1,291,Lopez Free Throw 1 of 1 (10 PTS)
1,309,Lopez BLOCK (1 BLK)
1,332,MISS Bogdanovic  3PT Jump Shot
1,360,Johnson 24' 3PT Jump Shot (3 PTS) (Bogdanovic 1 AST)
1,386,Johnson 20' Jump Shot (5 PTS) (Jack 5 AST)
1,419,Johnson 9' Driving Floating Jump Shot (7 PTS) (Jack 6 AST)
1,427,Nets Rebound
1,427,SUB: Reed FOR Lopez
1,448,MISS Johnson 11' Turnaround Fadeaway Shot
1,450,Reed REBOUND (Off:1 Def:0)
1,457,MISS Bogdanovic 25' 3PT Jump Shot
1,459,Reed REBOUND (Off:2 Def:0)
1,459,Reed 1' Putback Layup (2 PTS)
1,494,Johnson Bad Pass Turnover (P1.T1)
1,522,MISS Young 9' Hook Shot
1,532,Nets Timeout: Short (Reg.1 Short 1)
1,532,SUB: Lopez FOR Bogdanovic
1,532,SUB: Ellington FOR Young
1,543,Johnson 18' Jump Shot (9 PTS) (Ellington 1 AST)
1,562,Ellington REBOUND (Off:0 Def:1)
1,571,Lopez Traveling Turnover (P1.T2)
1,592,Reed REBOUND (Off:2 Def:1)
1,603,MISS Lopez 8' Hook Shot
1,611,Ellington STEAL (1 STL)
1,617,Reed 1' Cutting Layup Shot (4 PTS) (Jack 7 AST)
1,630,Jack P.FOUL (P1.T3) (B.Taylor)
1,630,SUB: Bogdanovic FOR Johnson
1,641,Bogdanovic S.FOUL (P1.PN) (K.Fitzgerald)
1,657,MISS Jack 21' Jump Shot
1,667,Bogdanovic REBOUND (Off:0 Def:1)
1,676,Bogdanovic 1' Driving Layup (4 PTS)
1,682,Jack Free Throw 1 of 2 (1 PTS)
1,682,Jack Free Throw 2 of 2 (2 PTS)
1,696,Reed REBOUND (Off:2 Def:2)
1,715,MISS Jack 21' Jump Shot
2,733,Reed S.FOUL (P1.T1) (K.Fitzgerald)
2,733,SUB: Young FOR Reed
2,752,Young 10' Hook Shot (4 PTS) (Larkin 1 AST)
2,776,Lopez Out of Bounds - Bad Pass Turnover Turnover (P2.T3)
2,805,Ellington REBOUND (Off:0 Def:2)
2,817,Lopez Free Throw 1 of 2 (11 PTS)
2,817,SUB: Johnson FOR Bogdanovic
2,817,Lopez Free Throw 2 of 2 (12 PTS)
2,825,Lopez S.FOUL (P1.T2) (K.Fitzgerald)
2,845,Lopez 12' Step Back Jump Shot (14 PTS)
2,863,Ellington S.FOUL (P1.T3) (Z.Zarba)
2,879,Young 6' Driving Floating Bank Jump Shot (6 PTS) (Ellington 2 AST)
2,903,MISS Young 7' Jump Shot
2,911,Lopez REBOUND (Off:0 Def:3)
2,921,MISS Young 3' Jump Shot
2,930,Nets Violation: Delay of game Violation
2,953,MISS Young 8' Floating Jump Shot
2,954,Lopez REBOUND (Off:1 Def:3)
2,954,Lopez 1' Putback Layup (16 PTS)
2,968,Larkin STEAL (1 STL)
2,973,Young  Running Layup (8 PTS) (Johnson 2 AST)
2,1015,Young 20' Jump Shot (10 PTS)
2,1062,MISS Lopez 13' Turnaround Fadeaway Shot
2,1070,Ellington REBOUND (Off:0 Def:3)
2,1084,SUB: Jack FOR Larkin
2,1084,Ellington Free Throw Technical (1 PTS)
2,1084,Ellington Free Throw 1 of 2 (2 PTS)
2,1084,Ellington Free Throw 2 of 2 (3 PTS)
2,1090,Jack Violation:Kicked Ball (.)
2,1133,MISS Johnson 25' 3PT Jump Shot
2,1152,Young S.FOUL (P2.T4) (B.Taylor)
2,1152,SUB: Reed FOR Young
2,1152,Lopez REBOUND (Off:1 Def:4)
2,1168,MISS Johnson 18' Turnaround Fadeaway Shot
2,1178,Lopez REBOUND (Off:1 Def:5)
2,1197,Jack Bad Pass Turnover (P1.T4)
2,1198,Jack P.FOUL (P2.PN) (Z.Zarba)
2,1198,SUB: Larkin FOR Jack
2,1215,MISS Lopez 10' Floating Jump Shot
2,1222,Larkin STEAL (2 STL)
2,1236,MISS Reed 8' Jump Shot
2,1237,Reed REBOUND (Off:3 Def:2)
2,1237,MISS Reed 2' Tip Layup Shot
2,1238,Lopez L.B.FOUL (P2.PN) (B.Taylor)
2,1238,SUB: Bargnani FOR Lopez
2,1254,MISS Ellington  3PT Jump Shot
2,1255,Nets Rebound
2,1255,Nets Timeout: Regular (Reg.2 Short 1)
2,1263,MISS Bargnani 21' Jump Shot
2,1268,Ellington S.FOUL (P2.PN) (Z.Zarba)
2,1268,SUB: Bogdanovic FOR Ellington
2,1285,MISS Bogdanovic 18' Step Back Jump Shot
2,1322,MISS Johnson  3PT Jump Shot
2,1330,Reed REBOUND (Off:3 Def:3)
2,1338,Larkin Free Throw 1 of 2 (1 PTS)
2,1338,SUB: Sloan FOR Johnson
2,1338,Larkin Free Throw 2 of 2 (2 PTS)
2,1371,Bargnani 19' Jump Shot (2 PTS) (Sloan 1 AST)
2,1394,Bogdanovic REBOUND (Off:0 Def:2)
2,1404,Bogdanovic Free Throw 1 of 2 (5 PTS)
2,1404,Bogdanovic Free Throw 2 of 2 (6 PTS)
2,1429,Sloan 1' Driving Layup (2 PTS) (Bargnani 1 AST)
2,1440,MISS Sloan 55' 3PT Jump Shot
2,1440,Nets Rebound
3,1457,Young REBOUND (Off:1 Def:1)
3,1471,MISS Lopez 12' Jump Shot
3,1471,Young REBOUND (Off:2 Def:1)
3,1474,Young 7' Hook Shot (12 PTS)
3,1486,Nets Rebound
3,1495,Johnson Lost Ball Turnover (P2.T5)
3,1535,MISS Lopez 3' Driving Finger Roll Layup
3,1536,Young REBOUND (Off:3 Def:1)
3,1542,MISS Johnson  3PT Jump Shot
3,1560,MISS Jack  Layup
3,1561,Lopez REBOUND (Off:2 Def:5)
3,1561,MISS Lopez  Tip Layup Shot
3,1562,Lopez REBOUND (Off:3 Def:5)
3,1562,MISS Lopez 1' Tip Layup Shot
3,1563,Lopez REBOUND (Off:4 Def:5)
3,1564,Lopez Free Throw Flagrant 1 of 2 (17 PTS)
3,1564,Lopez Free Throw Flagrant 2 of 2 (18 PTS)
3,1575,Johnson Bad Pass Turnover (P3.T6)
3,1603,Johnson 26' 3PT Jump Shot (12 PTS) (Lopez 1 AST)
3,1624,Lopez REBOUND (Off:4 Def:6)
3,1646,MISS Jack 8' Jump Shot
3,1664,Young STEAL (1 STL)
3,1682,MISS Jack 25' 3PT Jump Shot
3,1696,Young REBOUND (Off:3 Def:2)
3,1703,Young 7' Turnaround Hook Shot (14 PTS) (Jack 8 AST)
3,1728,Johnson REBOUND (Off:0 Def:1)
3,1740,Johnson 22' Jump Shot (14 PTS)
3,1753,Bogdanovic REBOUND (Off:0 Def:3)
3,1768,MISS Johnson 11' Jump Shot
3,1796,MISS Lopez 9' Hook Shot
3,1798,Young REBOUND (Off:4 Def:2)
3,1801,Bogdanovic Free Throw 1 of 2 (7 PTS)
3,1801,Bogdanovic Free Throw 2 of 2 (8 PTS)
3,1822,Young S.FOUL (P3.T1) (Z.Zarba)
3,1834,MISS Johnson 24' 3PT Jump Shot
3,1847,Young REBOUND (Off:4 Def:3)
3,1858,Lopez 9' Fadeaway Jumper (20 PTS)
3,1858,Lopez Free Throw 1 of 1 (21 PTS)
3,1881,Young S.FOUL (P4.T2) (K.Fitzgerald)
3,1881,SUB: Reed FOR Young
3,1881,SUB: Ellington FOR Johnson
3,1881,Lopez REBOUND (Off:4 Def:7)
3,1893,Reed 13' Jump Shot (6 PTS) (Jack 9 AST)
3,1928,Bogdanovic  3PT Jump Shot (11 PTS) (Lopez 2 AST)
3,1941,Jack BLOCK (1 BLK)
3,1942,Ellington REBOUND (Off:0 Def:4)
3,1960,MISS Lopez 7' Hook Shot
3,1970,Ellington REBOUND (Off:0 Def:5)
3,1974,Nets Timeout: Regular (Reg.3 Short 1)
3,1974,SUB: Larkin FOR Jack
3,1991,MISS Reed 16' Jump Shot
3,2000,Larkin REBOUND (Off:0 Def:1)
3,2007,Lopez OFF.Foul (P3) (B.Taylor)
3,2007,Lopez Foul Turnover (P3.T7)
3,2017,Reed REBOUND (Off:3 Def:4)
3,2019,MISS Ellington Free Throw Technical
3,2019,Nets Rebound
3,2019,SUB: Bargnani FOR Lopez
3,2019,SUB: Sloan FOR Reed
3,2033,MISS Ellington  3PT Jump Shot
3,2035,Bargnani REBOUND (Off:1 Def:0)
3,2035,Bargnani 1' Tip Layup Shot (4 PTS)
3,2066,Bogdanovic 2' Driving Layup (13 PTS)
3,2082,Bogdanovic REBOUND (Off:0 Def:4)
3,2097,Bogdanovic Bad Pass Turnover (P1.T8)
3,2105,Bogdanovic REBOUND (Off:0 Def:5)
3,2126,MISS Bogdanovic 12' Driving Hook Shot
3,2134,Bogdanovic S.FOUL (P2.T3) (B.Taylor)
3,2156,MISS Bogdanovic 26' 3PT Step Back Jump Shot
4,2177,Larkin Out of Bounds - Bad Pass Turnover Turnover (P1.T9)
4,2196,Bargnani REBOUND (Off:1 Def:1)
4,2213,MISS Larkin 12' Jump Shot
4,2220,Sloan P.FOUL (P1.T1) (B.Taylor)
4,2247,MISS Ellington 25' 3PT Jump Shot
4,2253,Larkin P.FOUL (P1.T2) (K.Fitzgerald)
4,2261,Nets Timeout: Regular (Reg.4 Short 1)
4,2291,Johnson 15' Step Back Jump Shot (16 PTS) (Larkin 2 AST)
4,2301,Larkin S.FOUL (P2.T3) (K.Fitzgerald)
4,2301,SUB: Lopez FOR Bargnani
4,2301,SUB: Young FOR Larkin
4,2319,Lopez Out of Bounds Lost Ball Turnover (P4.T10)
4,2337,Lopez S.FOUL (P4.T4) (B.Taylor)
4,2349,MISS Young 7' Driving Hook Shot
4,2362,Nets Timeout: Short (Reg.4 Short 2)
4,2362,SUB: Larkin FOR Sloan
4,2376,Lopez 8' Turnaround Jump Shot (23 PTS)
4,2376,Lopez Free Throw 1 of 1 (24 PTS)
4,2416,MISS Johnson 8' Floating Jump Shot
4,2446,Ellington 20' Jump Shot (5 PTS) (Larkin 3 AST)
4,2458,Ellington REBOUND (Off:0 Def:6)
4,2482,MISS Johnson 3' Layup
4,2483,Lopez REBOUND (Off:5 Def:7)
4,2486,Lopez 2' Putback Layup (26 PTS)
4,2496,Larkin REBOUND (Off:0 Def:2)
4,2508,MISS Larkin 26' 3PT Jump Shot
4,2510,SUB: Bogdanovic FOR Ellington
4,2527,Lopez REBOUND (Off:5 Def:8)
4,2546,Lopez 10' Floating Jump Shot (28 PTS) (Larkin 4 AST)
4,2577,MISS Lopez 9' Hook Shot
4,2594,Bogdanovic REBOUND (Off:0 Def:6)
4,2617,MISS Bogdanovic 8' Jump Shot
4,2618,Young REBOUND (Off:5 Def:3)
4,2621,MISS Johnson 24' 3PT Jump Shot
4,2624,Nets Rebound
4,2635,MISS Lopez 12' Turnaround Fadeaway Shot
4,2646,Larkin REBOUND (Off:0 Def:3)
4,2666,Johnson 16' Step Back Jump Shot (18 PTS)
4,2705,Young Free Throw 1 of 2 (15 PTS)
4,2705,Young Free Throw 2 of 2 (16 PTS)
4,2723,Young REBOUND (Off:5 Def:4)
4,2738,Johnson 18' Pullup Jump Shot (20 PTS)
4,2758,Larkin Offensive Charge Foul (P3.PN) (K.Fitzgerald)
4,2758,Larkin Foul Turnover (P2.T11)
4,2768,Young REBOUND (Off:5 Def:5)
4,2790,MISS Larkin 24' 3PT Jump Shot
4,2820,MISS Lopez 9' Jump Shot
4,2838,Larkin Bad Pass Turnover (P3.T12)
4,2841,Johnson S.FOUL (P2.PN) (K.Fitzgerald)
4,2841,SUB: Sloan FOR Bogdanovic
4,2844,Nets Timeout: Regular (Reg.5 Short 2)
4,2854,Lopez  Dunk (30 PTS) (Young 1 AST)
4,2857,Larkin REBOUND (Off:0 Def:4)
4,2861,Larkin Bad Pass Turnover (P4.T13)
4,2869,Nets Timeout: Short (Reg.5 Short 3)
4,2869,SUB: Ellington FOR Sloan
4,2870,Young Bad Pass Turnover (P1.T14)
